="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="",="",="",="(0.000522)",="(0.000516)",="(0.000562)",="(0.000548)",="(0.000507)",="(0.000509)"

="weekly_alcohol_b_preg",="",="",="",="0.000524",="0.000421",="0.000409",="0.000369",="0.000495",="0.000429"
="",="",="",="",="(0.000562)",="(0.000557)",="(0.000568)",="(0.000562)",="(0.000556)",="(0.000554)"

="complications_during_preg",="",="",="",="0.0218***",="0.0230***",="0.0251***",="0.0253***",="0.0220***",="0.0233***"
="",="",="",="",="(0.00746)",="(0.00758)",="(0.00772)",="(0.00780)",="(0.00752)",="(0.00758)"

="_cons",="-0.000573",="0.623",="0.356",="2.668**",="-0.472",="0.864",="2.580**",="0.715",="-0.482"
="",="(0.0341)",="(0.830)",="(1.017)",="(1.210)",="(0.485)",="(0.871)",="(1.167)",="(0.865)",="(0.486)"

="N",="5419",="5419",="4774",="4736",="4747",="4751",="4761",="4745",="4747"
="R-sq",="0.028",="0.031",="0.041",="0.048",="0.016",="0.046",="0.043",="0.045",="0.017"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
