="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="_mother_edu4",="",="",="0.0127",="0.01000",="0.0147",="0.00350",="0.00484",="0.0127",="0.0140"
="",="",="",="(0.0142)",="(0.0145)",="(0.0140)",="(0.0138)",="(0.0128)",="(0.0138)",="(0.0140)"

="_mother_edu5",="",="",="-0.00490",="-0.00730",="-0.00180",="-0.0182",="-0.0167",="-0.00458",="-0.00280"
="",="",="",="(0.0155)",="(0.0158)",="(0.0154)",="(0.0154)",="(0.0145)",="(0.0153)",="(0.0153)"

="_inc1",="",="",="0.0210**",="0.0207**",="0.0198**",="",="",="0.0215**",="0.0202**"
="",="",="",="(0.00961)",="(0.00975)",="(0.00976)",="",="",="(0.00981)",="(0.00974)"

="_inc2",="",="",="0.0392***",="0.0401***",="0.0392***",="",="",="0.0407***",="0.0392***"
="",="",="",="(0.0112)",="(0.0114)",="(0.0114)",="",="",="(0.0113)",="(0.0115)"

="_inc3",="",="",="0.0200**",="0.0199**",="0.0193**",="",="",="0.0205**",="0.0194**"
="",="",="",="(0.00818)",="(0.00819)",="(0.00835)",="",="",="(0.00824)",="(0.00837)"

="_inc4",="",="",="0.0133*",="0.0130*",="0.0142*",="",="",="0.0136*",="0.0143*"
="",="",="",="(0.00737)",="(0.00731)",="(0.00743)",="",="",="(0.00732)",="(0.00743)"

="height",="",="",="",="0.0299",="0.0377",="0.0355",="0.0424",="0.0384",="0.0384"
="",="",="",="",="(0.0442)",="(0.0440)",="(0.0451)",="(0.0447)",="(0.0437)",="(0.0440)"

="daily_cig_before_preg",="",="",="",="-0.000307",="-0.000299",="0.0000186",="0.0000101",="-0.000298",="-0.000306"
="",="",="",="",="(0.000342)",="(0.000330)",="(0.000357)",="(0.000346)",="(0.000327)",="(0.000327)"

="weekly_alcohol_b_preg",="",="",="",="0.000424",="0.000371",="0.000346",="0.000328",="0.000419",="0.000374"
="",="",="",="",="(0.000434)",="(0.000428)",="(0.000437)",="(0.000432)",="(0.000428)",="(0.000426)"

="complications_during_preg",="",="",="",="0.0180***",="0.0189***",="0.0202***",="0.0202***",="0.0181***",="0.0190***"
="",="",="",="",="(0.00558)",="(0.00566)",="(0.00571)",="(0.00574)",="(0.00560)",="(0.00566)"

="_cons",="-0.0523",="1.240",="0.592",="1.273",="-0.417",="1.468",="0.933",="1.266",="-0.420"
="",="(0.0347)",="(0.870)",="(0.754)",="(0.898)",="(0.446)",="(0.919)",="(0.762)",="(0.892)",="(0.447)"

="N",="10803",="10803",="9582",="9503",="9527",="9535",="9555",="9522",="9527"
="R-sq",="0.023",="0.025",="0.035",="0.039",="0.018",="0.034",="0.032",="0.037",="0.019"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
